name,lat,long,region,address 1,address 2,address 3,county
The Village Inn,54.888188,-6.353407,northireland,GRENAGH VILLAGE,GRENAGH NORTH,,CO. CORK
The Village Inn,54.888188,-6.353407,northireland,BALLYBOUGHAL,,,CO. DUBLIN
The Village Inn,54.888188,-6.353407,northireland,FOHENAGH,AHASCRAGH,BALLINASLOE,CO. GALWAY
The Village Inn,54.888188,-6.353407,northireland,KILCHREST,LOUGHREA,,CO. GALWAY
The Village Inn,54.888188,-6.353407,northireland,KILKERRIN,BALLINASLOE,,CO. GALWAY
The Village Inn,54.888188,-6.353407,northireland,CHURCH STREET,KILGARVAN,,CO. KERRY
The Village Inn,54.888188,-6.353407,northireland,KILCUMMIN,KILLARNEY,,CO. KERRY
The Village Inn,54.888188,-6.353407,northireland,MAIN STREET,CELBRIDGE,,CO. KILDARE
The Village Inn,54.888188,-6.353407,northireland,PATRICK STREET,KILKENNY,,CO. KILKENNY
The Village Inn,54.888188,-6.353407,northireland,KINLOUGH,,,CO. LEITRIM
The Village Inn,54.888188,-6.353407,northireland,GORTNACLOHY,ASHFORD,BALLAGH,CO. LIMERICK
The Village Inn,54.888188,-6.353407,northireland,FARRIHY,BROADFORD,RATHLUIRC,CO. LIMERICK
The Village Inn,54.888188,-6.353407,northireland,AGHAMORE,BALLYHAUNIS,,CO. MAYO
The Village Inn,54.888188,-6.353407,northireland,TOOCANANAGH,CLAREMORRIS,,CO. MAYO
The Village Inn,54.888188,-6.353407,northireland,BALLYNACROONBEG,PARTRY,CLAREMORRIS,CO. MAYO
The Village Inn,54.888188,-6.353407,northireland,MAIN STREET,CLONEE,,CO. MEATH
The Village Inn,54.888188,-6.353407,northireland,MAIN STREET,RATHMOYLON,,CO. MEATH
The Village Inn,54.888188,-6.353407,northireland,CASTLEJORDAN,,,CO. MEATH
The Village Inn,54.888188,-6.353407,northireland,LOUGHGLYNN,CASTLEREA,,CO. ROSCOMMON
The Village Inn,54.888188,-6.353407,northireland,CARTRON VILLAGE,SLIGO,,CO. SLIGO
The Village Inn,54.888188,-6.353407,northireland,EGLISH,ROSCREA,,CO. TIPPERARY
The Village Inn,54.888188,-6.353407,northireland,MOYGLASS,FETHARD,,CO. TIPPERARY
