ID,name,lat,long,address_1,address_2,address_3,county
1817,The Welcome Inn,53.1423672,-7.6920536,8 Market Square,Portlaoise,,Co. Laois
1818,The Welcome Inn,53.1423672,-7.6920536,Carricknabrac,Drumshanbo,,Co. Leitrim
1819,The Welcome Inn,53.1423672,-7.6920536,Mitchelstowndown East,Knocklong,Kilmallock,Co. Limerick
1820,The Welcome Inn,53.1423672,-7.6920536,The Welcome Inn,Boherwilliam,Cappagh,Co. Waterford
1821,Katty Barry's,52.2596061,-7.1058225,2 Mall Lane,Waterford,,Co. Waterford
1822,Dooley's Hotel,52.2628329,-7.115629,30/33 And 32a The Quay,Waterford,,Co. Waterford
1823,Carrolls Cross Inn,52.2260203,-7.3421603,Ballyshunnock,Kilmacthomas,,Co. Waterford
1824,The Lady Belle,52.089933,-7.6202425,13 Grattan Square,Dungarvan,,Co. Waterford
1825,The Mansion House,52.2544174,-7.109083,39 Johnstown,Waterford,,Co. Waterford
1826,Walsh's Mill House,52.6474361,-8.4200559,Farnane,Cappagh,,Co. Waterford
1827,Grattan Bar,52.2639816,-7.1190716,1/2 Bridge Street,Waterford,,Co. Waterford
1828,Martin Quelly,52.0936763,-7.6203627,Bohadoon,Dungarvan,,Co. Waterford
1829,The Yellow House,52.2463286,-7.1431715,Cork Road,Waterford,,Co. Waterford
1830,The Halfway House,52.2346969,-7.7196061,Tievebane,Burnfoot,Lifford,Co. Donegal
1831,The Halfway House,52.2346969,-7.7196061,Navan Road,Ashtown ( And Extensions Attached And Adjoining Thereto),,Co. Dublin
1832,The Halfway House,52.2346969,-7.7196061,40 Oliver Plunkett Street,Mullingar,,Co. Westmeath
1833,The Halfway House,52.2346969,-7.7196061,Ballycogley,,,Co. Wexford
1834,The Halfway House,52.2346969,-7.7196061,Longmile Road And Premises Attached,Walkinstown,,Dublin City
1835,M. Kennedy,52.2083263,-7.0480566,Callaghane,,,Co. Waterford
1836,The Village Inn,52.0920608,-7.6158861,Dowra,,,Co. Cavan
1837,The Village Inn,52.0920608,-7.6158861,15 Newtown,Cobh,,Co. Cork
